,Gen,Pair,Release,HcondE,HcondN,MI_EN,MI_NE,TE_EN,TE_NE,TE_star_EN,TE_star_NE,TE_star2_EN,TE_star2_NE,HcondEN,HcondNE,HcondEN2,HcondNE2
0,2.0,1.0,1.0,0.8976907382120034,0.8593139226440154,0.06496393286565127,0.06288114786452992,0.026937683533623247,0.03013661437553261,0.020284982308620414,0.0176262272033898,0.016876309128871725,0.015343295376120114,0.8759162926082591,0.8502406155972115,0.8554227227142244,0.829828036182044
1,2.0,1.0,2.0,0.9348353014229103,0.9562295385140711,0.024979390674226387,0.02779094652281877,0.014622316204945474,0.015443236616825118,0.008614385155579996,0.01115055184177205,0.008576066379659242,0.00956922951213901,0.9184079570008921,0.9419838041388098,0.88388886984343,0.9157175691667665
2,2.0,1.0,4.0,0.6857227294210668,0.6323519552946186,0.12609960564167766,0.12305717568048458,0.023567601786463444,0.028331978621794374,0.02902408563752701,0.02626429314135592,0.020852123259708755,0.021989273662708975,0.6517682321911067,0.6134888665269513,0.5760944374304557,0.5456185058997716
3,2.0,1.0,6.0,0.9114338065460813,0.9079388663135173,0.009901614709506346,0.027931587692537452,0.0027100626120548643,0.018073217689364762,0.001816303734816671,0.007554731449315177,0.003657462868289496,0.009391318252687242,0.8828875892472565,0.901442928555706,0.8333236447485306,0.8655885633091103
4,2.0,1.0,7.0,0.9630532515879917,0.8889545834722159,0.027869963872004355,0.038642006771797854,0.011182548401031056,0.02644265394025025,0.011582680798444933,0.012700424108219366,0.008008474512926078,0.009459497513494952,0.930892976322955,0.8844299212392941,0.8782155848123838,0.8307813692478763
5,2.0,1.0,9.0,0.9493027825484197,0.9375400535424356,0.024845625620991463,0.03568438077594993,0.011328545754635044,0.02067087238788856,0.007725139407860571,0.01345866625482861,0.006999947428600439,0.01149592265952526,0.9279697963663553,0.9272199996438193,0.8966619339270725,0.8937098706480948
6,2.0,1.0,11.0,0.8536063642125378,0.8627678344020567,0.08273482715103908,0.08917988181589043,0.03114055481651512,0.034148395851256064,0.01934017704587143,0.01880735815496193,0.014392577485098368,0.01503437018393905,0.8188961898571994,0.8418824387715773,0.7969370978725561,0.7975166638918236
7,2.0,1.0,12.0,0.8574890077519919,0.8566078223878676,0.0618291087196694,0.06237701961491937,0.02114051528126093,0.021867054988006007,0.013173135692839733,0.012752712417927192,0.012794817558719807,0.013629076482087665,0.8402738321426289,0.8352537234720248,0.8027742950412438,0.8080941804452291
8,2.0,2.0,1.0,0.8722327602543944,0.8479920752795671,0.0968522309791,0.12247841650585056,0.03271085483051439,0.05599574347844327,0.01900230934175351,0.03488524178072039,0.011363536030447818,0.027569781345408106,0.8369528369420907,0.8128013664743001,0.7974774530746331,0.7769509062785045
9,2.0,2.0,3.0,0.8759811558823103,0.856223296628553,0.1228622025661601,0.12117570431130797,0.05424091990520341,0.05745547089692171,0.035962008449638816,0.03547667062280091,0.024204555271797545,0.025370913612106083,0.8362781759861051,0.817329728645865,0.7983630464083764,0.7833688060798298
10,2.0,2.0,4.0,0.966669465872442,0.9493600854054507,0.037729884369105626,0.04450966740473028,0.02292174407124903,0.031153173705459336,0.01892315923749699,0.025504200561119905,0.011117656314025837,0.01926452196727224,0.9432006380077205,0.9266096096027887,0.9091269786182692,0.8675847212209553
11,2.0,2.0,5.0,0.8275607310543294,0.8366014079489539,0.0978311108993668,0.1276844295279309,0.030563560436321913,0.048594386250915944,0.020863659715431915,0.03158773316683883,0.016334407357120106,0.027733968778129725,0.7990725024487846,0.8241337910595572,0.7733826519747358,0.8089548171948353
12,2.0,2.0,6.0,0.9318764428638839,0.9206666080889843,0.055616148160131385,0.07738844512106824,0.03192089900066453,0.051982969082639,0.022798369964381227,0.03439068108594601,0.012313062301195554,0.025408854760168964,0.8911958464927316,0.8994983128256933,0.8478391923624633,0.8600634125577775
